id,stadium,city,state,group,Country,county,fips,team1,lat,long,capacity,opened,cost,price_of_beer,turf,league,sport,text
62,Amalie Arena,Tampa,FL,7,US,,,Tampa Bay Lightning,27.9428,-82.4519,19092,10/20/1996,"$139,000,000.00",,ice,nhl,no,Amalie Arena<br>Capacity: 19092<br>Opened: 35358<br>Multi-sport: no
63,American Airlines Center,Dallas,TX,29,US,,,Dallas Stars,32.7906,-96.8103,18532,07/17/2001,"$420,000,000.00",,ice,nhl,yes,American Airlines Center<br>Capacity: 18532<br>Opened: 37089<br>Multi-sport: yes
64,BB&T Center,Sunrise,FL,7,US,,,Florida Panthers,26.1583,-80.3256,19250,10/03/1998,"$185,000,000.00",,Ice,nhl,no,BB&T Center<br>Capacity: 19250<br>Opened: 36071<br>Multi-sport: no
65,Barclays Center,Brooklyn,NY,21,US,,,NY Islanders,40.7228,-73.5906,15795,09/21/2012,"$1,000,000,000.00",,Ice,nhl,yes,Barclays Center<br>Capacity: 15795<br>Opened: 41173<br>Multi-sport: yes
66,Bell Centre,Montreal,QC,27,CA,,,Montreal Canadiens,45.4961,-73.5694,21288,03/16/1996,"$270,000,000.00",,Ice,nhl,no,Bell Centre<br>Capacity: 21288<br>Opened: 35140<br>Multi-sport: no
67,Bell MTS Place,Winnipeg,MT,17,CA,,,Winnipeg Jets,49.8928,-97.1436,15294,11/16/2004,"$133,500,000.00",,Ice,nhl,no,Bell MTS Place<br>Capacity: 15294<br>Opened: 38307<br>Multi-sport: no
68,Bridgestone Arena,Nashville,TN,28,US,,,Nashville Predators,36.1592,-86.7786,17113,12/18/1996,"$144,000,000.00",,Ice,nhl,no,Bridgestone Arena<br>Capacity: 17113<br>Opened: 35417<br>Multi-sport: no
69,Canadian Tire Centre,Ottawa,ON,24,CA,,,Ottawa Senators,45.2969,-75.9272,17000,01/15/1996,"$170,000,000.00",,Ice,nhl,no,Canadian Tire Centre<br>Capacity: 17000<br>Opened: 35079<br>Multi-sport: no
70,Capital One Arena,Washington,DC,6,US,,,Washington Capitals,38.8981,-77.0208,18506,12/02/1997,"$260,000,000.00",,Ice,nhl,yes,Capital One Arena<br>Capacity: 18506<br>Opened: 35766<br>Multi-sport: yes
71,Gila River Arena,Glendale,AZ,2,US,,,Arizona Coyotes,33.5319,-112.261,17125,12/26/2003,"$220,000,000.00",,Ice,nhl,no,Gila River Arena<br>Capacity: 17125<br>Opened: 37981<br>Multi-sport: no
72,Honda Center,Anaheim,CA,4,US,,,Anaheim Ducks,33.8078,-117.877,17174,06/19/1993,"$123,000,000.00",,Ice,nhl,no,Honda Center<br>Capacity: 17174<br>Opened: 34139<br>Multi-sport: no
73,KeyBank Center,Buffalo,NY,21,US,,,Buffalo Sabres,42.875,-78.8764,19070,09/21/1996,"$127,500,000.00",,Ice,nhl,no,KeyBank Center<br>Capacity: 19070<br>Opened: 35329<br>Multi-sport: no
74,Little Caesars Arena,Detroit,MI,14,US,,,Detroit Red Wings,42.3253,-83.0514,20000,09/05/2017,"$862,900,000.00",,Ice,nhl,yes,Little Caesars Arena<br>Capacity: 20000<br>Opened: 42983<br>Multi-sport: yes
75,Madison Square Garden,New York,NY,21,US,,,NY Rangers,40.7506,-73.9936,18006,02/11/1968,"$123,000,000.00",,Ice,nhl,yes,Madison Square Garden<br>Capacity: 18006<br>Opened: 24879<br>Multi-sport: yes
76,Nationwide Arena,Columbus,OH,22,US,,,Columbus Blue Jackets,39.9693,-83.0061,18500,09/09/2000,"$175,000,000.00",,Ice,nhl,no,Nationwide Arena<br>Capacity: 18500<br>Opened: 36778<br>Multi-sport: no
77,Pepsi Center,Denver,CO,5,US,,,Colorado Avalanche,39.7486,-105.007,18007,10/01/1999,"$187,000,000.00",,Ice,nhl,yes,Pepsi Center<br>Capacity: 18007<br>Opened: 36434<br>Multi-sport: yes
78,PNC Arena,Raleigh,NC,18,US,,,Carolina Hurricanes,35.8033,-78.7219,18680,10/29/1999,"$158,000,000.00",,Ice,nhl,no,PNC Arena<br>Capacity: 18680<br>Opened: 36462<br>Multi-sport: no
79,PPG Paints Arena,Pittsburgh,PA,26,US,,,Pittsburgh Penguins,40.4394,-79.9892,18387,08/18/2010,"$321,000,000.00",,Ice,nhl,no,PPG Paints Arena<br>Capacity: 18387<br>Opened: 40408<br>Multi-sport: no
80,Prudential Center,Newark,NJ,19,US,,,New Jersey Devils,40.7336,-74.1711,17625,10/25/2007,"$375,000,000.00",,Ice,nhl,no,Prudential Center<br>Capacity: 17625<br>Opened: 39380<br>Multi-sport: no
81,Rogers Arena,Vancouver,BC,3,CA,,,Vancouver Canucks,49.2778,-123.109,18910,07/13/1993,"$160,000,000.00",,Ice,nhl,no,Rogers Arena<br>Capacity: 18910<br>Opened: 34163<br>Multi-sport: no
82,Rogers Place,Edmonton,AB,1,CA,,,Edmonton Oilers,53.5714,-113.456,18641,09/08/2016,"$480,000,000.00",,Ice,nhl,no,Rogers Place<br>Capacity: 18641<br>Opened: 42621<br>Multi-sport: no
83,Scotiabank Saddledome,Calgary,AB,1,CA,,,Calgary Flames,51.0375,-114.052,19289,10/15/1983,"$97,700,000.00",,Ice,nhl,no,Scotiabank Saddledome<br>Capacity: 19289<br>Opened: 30604<br>Multi-sport: no
84,SAP Center,San Jose,CA,4,US,,,San Jose Sharks,37.3328,-121.901,17562,06/28/1990,"$162,500,000.00",,Ice,nhl,no,SAP Center<br>Capacity: 17562<br>Opened: 33052<br>Multi-sport: no
85,Scottrade Center,St. Louis,MO,16,US,,,St. Louis Blues,38.6267,-90.2025,19150,10/08/1994,"$135,000,000.00",,Ice,nhl,no,Scottrade Center<br>Capacity: 19150<br>Opened: 34615<br>Multi-sport: no
86,Staples Center,Los Angeles,CA,4,US,,,Los Angeles Clippers,34.043,-118.267,18230,10/17/1999,"$375,000,000.00",,Hardwood,nba,yes,Staples Center<br>Capacity: 18230<br>Opened: 36450<br>Multi-sport: yes
87,TD Garden,Boston,MA,12,US,,,Boston Bruins,42.3663,-71.0622,17765,09/30/1995,"$160,000,000.00",,Ice,nhl,yes,TD Garden<br>Capacity: 17765<br>Opened: 34972<br>Multi-sport: yes
88,T-Mobile Arena,Paradise,NV,20,US,,,Vegas Golden Knights,36.1024,-115.1776,17368,04/06/2016,"$375,000,000.00",,Ice,nhl,no,T-Mobile Arena<br>Capacity: 17368<br>Opened: 42466<br>Multi-sport: no
89,United Center,Chicago,IL,9,US,,,Chicago Blackhawks,41.8806,-87.6742,19717,08/18/1994,"$175,000,000.00",,Ice,nhl,yes,United Center<br>Capacity: 19717<br>Opened: 34564<br>Multi-sport: yes
90,Wells Fargo Center,Philadelphia,PA,26,US,,,Philadelphia Flyers,39.9011,-75.1719,19543,08/13/1996,"$210,000,000.00",,Ice,nhl,yes,Wells Fargo Center<br>Capacity: 19543<br>Opened: 35290<br>Multi-sport: yes
91,Xcel Energy Center,St. Paul,MN,15,US,,,Minnesota Wild,44.9447,-93.1011,17954,09/29/2000,"$170,000,000.00",,Ice,nhl,no,Xcel Energy Center<br>Capacity: 17954<br>Opened: 36798<br>Multi-sport: no
92,Air Canada Centre,Toronto,ON,24,CA,,,Toronto Raptors,43.6433,-79.3791,19800,01/01/99,"$265,000,000.00",,Hardwood,nba,yes,Air Canada Centre<br>Capacity: 19800<br>Opened: 36161<br>Multi-sport: yes
93,American Airlines Arena,Miami,FL,7,US,,,Miami Heat,25.7814,-80.1878,19600,01/01/99,"$213,000,000.00",,Hardwood,nba,no,American Airlines Arena<br>Capacity: 19600<br>Opened: 36161<br>Multi-sport: no
94,American Airlines Center,Dallas,TX,29,US,,,Dallas Mavericks,32.7904,-96.8103,19200,07/17/01,"$420,000,000.00",,Hardwood,nba,yes,American Airlines Center<br>Capacity: 19200<br>Opened: 37089<br>Multi-sport: yes
95,Amway Center,Orlando,FL,7,US,,,Orlando Magic,28.5392,-81.3836,18846,10/01/10,"$480,000,000.00",,Hardwood,nba,no,Amway Center<br>Capacity: 18846<br>Opened: 40452<br>Multi-sport: no
96,AT&T Center,San Antonio,TX,29,US,,,San Antonio Spurs,29.4269,-98.4375,18418,10/18/02,"$186,000,000.00",,Hardwood,nba,no,AT&T Center<br>Capacity: 18418<br>Opened: 37547<br>Multi-sport: no
97,Bankers Life Fieldhouse,Indianapolis,IN,10,US,,,Indiana Pacers,39.7639,-86.1556,17923,11/06/99,"$183,000,000.00",,Hardwood,nba,no,Bankers Life Fieldhouse<br>Capacity: 17923<br>Opened: 36470<br>Multi-sport: no
98,Barclays Center,Brooklyn,NY,21,US,,,Brooklyn Nets,40.6827,-73.9747,17732,09/21/12,"$1,000,000,000.00",,Hardwood,nba,yes,Barclays Center<br>Capacity: 17732<br>Opened: 41173<br>Multi-sport: yes
99,Bradley Center,Milwaukee,WI,32,US,,,Milwaukee Bucks,43.0436,-87.9168,18717,10/01/88,"$91,000,000.00",,Hardwood,nba,no,Bradley Center<br>Capacity: 18717<br>Opened: 32417<br>Multi-sport: no
100,Capital One Arena,Washington,DC,6,US,,,Washington Wizards,38.898,-77.021,20356,12/02/97,"$260,000,000.00",,Hardwood,nba,yes,Capital One Arena<br>Capacity: 20356<br>Opened: 35766<br>Multi-sport: yes
101,Chesapeake Energy Arena,Oklahoma City,OK,23,US,,,Oklahoma City Thunder,35.4633,-97.515,18203,06/08/02,"$89,200,000.00",,Hardwood,nba,no,Chesapeake Energy Arena<br>Capacity: 18203<br>Opened: 37415<br>Multi-sport: no
102,FedExForum,Memphis,TN,28,US,,,Memphis Grizzlies,35.1383,-90.0506,18119,09/06/04,"$250,000,000.00",,Hardwood,nba,no,FedExForum<br>Capacity: 18119<br>Opened: 38236<br>Multi-sport: no
103,Golden 1 Center,Sacramento,CA,4,US,,,Sacramento Kings,38.6491,-121.518,17608,09/30/16,"$558,200,000.00",,Hardwood,nba,no,Golden 1 Center<br>Capacity: 17608<br>Opened: 42643<br>Multi-sport: no
104,Little Caesars Arena,Detroit,MI,14,US,,,Detroit Pistons,42.6969,-83.2456,21000,09/05/17,"$862,900,000.00",,Hardwood,nba,yes,Little Caesars Arena<br>Capacity: 21000<br>Opened: 42983<br>Multi-sport: yes
105,Madison Square Garden,New York,NY,21,US,,,New York Knicks,40.7505,-73.9936,19812,02/11/68,"$123,000,000.00",,Hardwood,nba,yes,Madison Square Garden<br>Capacity: 19812<br>Opened: 24879<br>Multi-sport: yes
106,Moda Center,Portland,OR,25,US,,,Portland Trail Blazers,45.5314,-122.667,19980,10/12/95,"$262,000,000.00",,Hardwood,nba,no,Moda Center<br>Capacity: 19980<br>Opened: 34984<br>Multi-sport: no
107,Oracle Arena,Oakland,CA,4,US,,,Golden State Warriors,37.7503,-122.203,19596,11/09/66,"$24,000,000.00",,Hardwood,nba,no,Oracle Arena<br>Capacity: 19596<br>Opened: 24420<br>Multi-sport: no
108,Pepsi Center,Denver,CO,5,US,,,Denver Nuggets,39.7486,-105.008,19155,10/01/99,"$187,000,000.00",,Hardwood,nba,yes,Pepsi Center<br>Capacity: 19155<br>Opened: 36434<br>Multi-sport: yes
109,Philips Arena,Atlanta,GA,8,US,,,Atlanta Hawks,33.7572,-84.3963,15700,09/18/99,"$213,500,000.00",,Hardwood,nba,no,Philips Arena<br>Capacity: 15700<br>Opened: 36421<br>Multi-sport: no
110,Quicken Loans Arena,Cleveland,OH,22,US,,,Cleveland Cavaliers,41.4967,-81.6881,20562,10/17/94,"$100,000,000.00",,Hardwood,nba,no,Quicken Loans Arena<br>Capacity: 20562<br>Opened: 34624<br>Multi-sport: no
111,Smoothie King Center,New Orleans,LA,11,US,,,New Orleans Pelicans,29.9489,-90.0822,16867,10/29/99,"$114,000,000.00",,Hardwood,nba,no,Smoothie King Center<br>Capacity: 16867<br>Opened: 36462<br>Multi-sport: no
112,Spectrum Center,Charlotte,NC,18,US,,,Charlotte Hornets,35.2245,-80.841,19077,10/21/05,"$260,000,000.00",,Hardwood,nba,no,Spectrum Center<br>Capacity: 19077<br>Opened: 38646<br>Multi-sport: no
113,Talking Stick Resort Arena,Phoenix,AZ,2,US,,,Phoenix Suns,33.4457,-112.071,18422,06/06/92,"$90,000,000.00",,Hardwood,nba,no,Talking Stick Resort Arena<br>Capacity: 18422<br>Opened: 33761<br>Multi-sport: no
114,Target Center,Minneapolis,MN,15,US,,,Minnesota Timberwolves,44.9794,-93.2761,19356,10/13/90,"$104,000,000.00",,Hardwood,nba,no,Target Center<br>Capacity: 19356<br>Opened: 33159<br>Multi-sport: no
115,TD Garden,Boston,MA,12,US,,,Boston Celtics,42.3663,-71.0623,18624,09/30/95,"$160,000,000.00",,Hardwood,nba,yes,TD Garden<br>Capacity: 18624<br>Opened: 34972<br>Multi-sport: yes
116,Toyota Center,Houston,TX,29,US,,,Houston Rockets,29.7508,-95.3622,18055,10/06/03,"$235,000,000.00",,Hardwood,nba,no,Toyota Center<br>Capacity: 18055<br>Opened: 37900<br>Multi-sport: no
117,United Center,Chicago,IL,9,US,,,Chicago Bulls,41.8806,-87.6741,20917,08/18/94,"$175,000,000.00",,Hardwood,nba,yes,United Center<br>Capacity: 20917<br>Opened: 34564<br>Multi-sport: yes
118,Vivint Smart Home Arena,Salt Lake City,UT,30,US,,,Utah Jazz,40.7683,-111.901,19911,10/04/91,"$93,000,000.00",,Hardwood,nba,no,Vivint Smart Home Arena<br>Capacity: 19911<br>Opened: 33515<br>Multi-sport: no
119,Wells Fargo Center,Philadelphia,PA,26,US,,,Philadelphia 76ers,39.9011,-75.1717,20328,08/13/96,"$210,000,000.00",,Hardwood,nba,yes,Wells Fargo Center<br>Capacity: 20328<br>Opened: 35290<br>Multi-sport: yes
120,Oakland Coliseum,Oakland,CA,4,US,,,Oakland Athletics,37.7516,-122.201,53250,09/18/1966,"$25,500,000.00",,Grass,mlb,yes,Oakland Coliseum<br>Capacity: 53250<br>Opened: 24368<br>Multi-sport: yes
121,Staples Center,Los Angeles,CA,4,US,,,Los Angeles Lakers,34.043,-118.267,18230,10/17/1999,"$375,000,000.00",,Hardwood,nba,yes,Staples Center<br>Capacity: 18230<br>Opened: 36450<br>Multi-sport: yes
122,Staples Center,Los Angeles,CA,4,US,,,Los Angeles Kings,34.0431,-118.267,18230,10/17/1999,"$375,000,000.00",,Ice,nhl,yes,Staples Center<br>Capacity: 18230<br>Opened: 36450<br>Multi-sport: yes
123,Progressive Field,Cleveland,OH,22,US,,,Cleveland Indians,41.4962,-81.6852,35225,04/02/1994,"$175,000,000.00",,Grass,mlb,no,Progressive Field<br>Capacity: 35225<br>Opened: 34426<br>Multi-sport: no
